group	subset	learningiter	acc	expid
tv	460	23500	0.831333	188
tv	460	23750	0.830667	188
tv	460	24000	0.831733	188
tv	460	24250	0.833333	188
tv	460	24500	0.836667	188
tv	460	24750	0.833867	188
tv	460	25000	0.834133	188
tv	460	25250	0.831867	188
tv	460	25500	0.836	188
tv	460	25750	0.836267	188
tv	460	26000	0.8356	188
tv	460	26250	0.835867	188
tv	460	26500	0.8364	188
tv	460	26750	0.8388	188
tv	460	27000	0.8388	188
tv	460	27250	0.839333	188
tv	460	27500	0.836667	188
tv	460	27750	0.838667	188
tv	460	28000	0.839467	188
tv	460	28250	0.839067	188
tv	460	28500	0.839333	188
tv	460	28750	0.836267	188
tv	460	29000	0.8388	188
tv	460	29250	0.8376	188
tv	460	29500	0.840267	188
tv	460	29750	0.8388	188
tv	460	30000	0.836933	188
tv	460	30250	0.837467	188
tv	460	30500	0.840667	188
tv	460	30750	0.838133	188
tv	460	31000	0.836	188
tv	460	31250	0.836533	188
tv	460	31500	0.8372	188
tv	460	31750	0.8412	188
tv	460	32000	0.8336	188
tv	460	32250	0.833334	188
tv	460	32500	0.836133	188
tv	460	32750	0.836933	188
tv	460	33000	0.841067	188
tv	460	33250	0.838667	188
tv	460	33500	0.838533	188
tv	460	33750	0.84	188
tv	460	34000	0.841067	188
tv	460	34250	0.8412	188
tv	460	34500	0.838533	188
tv	460	34750	0.8408	188
tv	460	35000	0.835467	188
tv	460	35250	0.843333	188
tv	460	35500	0.842533	188
tv	460	35750	0.838533	188
tv	460	36000	0.8336	188
tv	460	36250	0.840933	188
tv	460	36500	0.8396	188
tv	460	36750	0.836267	188
tv	460	37000	0.840267	188
tv	460	37250	0.838267	188
tv	460	37500	0.8408	188
tv	460	37750	0.841733	188
tv	460	38000	0.8392	188
tv	460	38250	0.838533	188
tv	460	38500	0.84	188
tv	460	38750	0.8392	188
tv	460	39000	0.8368	188
tv	460	39250	0.837467	188
tv	460	39500	0.834533	188
tv	460	39750	0.8308	188
tv	460	40000	0.842533	188
tv	460	40250	0.842667	188
tv	460	40500	0.839733	188
tv	460	40750	0.8368	188
tv	460	41000	0.834933	188
tv	460	41250	0.837334	188
tv	460	41500	0.836933	188
tv	460	41750	0.839333	188
tv	460	42000	0.835333	188
tv	460	42250	0.8404	188
tv	460	42500	0.8444	188
tv	460	42750	0.845467	188
tv	460	43000	0.838667	188
tv	460	43250	0.836533	188
tv	460	43500	0.839467	188
tv	460	43750	0.8416	188
tv	460	44000	0.843867	188
tv	460	44250	0.839467	188
tv	460	44500	0.841333	188
tv	460	44750	0.835467	188
tv	460	45000	0.839467	188
tv	460	45250	0.840533	188
tv	460	45500	0.8444	188
tv	460	45750	0.8356	188
tv	460	46000	0.8396	188
tv	460	46250	0.840133	188
tv	460	46500	0.842667	188
tv	460	46750	0.837867	188
tv	460	47000	0.839067	188
tv	460	47250	0.843333	188
tv	460	47500	0.8388	188
tv	460	47750	0.840533	188
tv	460	48000	0.839867	188
tv	460	48250	0.8296	188
tv	460	48500	0.840933	188
tv	460	48750	0.841333	188
tv	460	49000	0.8452	188
tv	460	49250	0.8396	188
